Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
1,Malek Al Abadalmanam,saKSA,FW,Al-Fayha,26,1998,12,1,209,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
2,Saleh Al Abbas,saKSA,FW,Al Okhdood SC,30,1993,26,5,627,7,3,0,3,3,0,0,3,0,0.43,0,0.43,0.43,0.43,Matches
3,Faris Abdi,saKSA,"DF,MF",Al-Fayha,25,1999,31,28,"2,480",27.6,1,1,2,1,0,0,9,0,0.04,0.04,0.07,0.04,0.07,Matches
4,Ali Abdoulraouf,,MF,Al-Khaleej,,,2,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Majed Abdullah,saKSA,FW,Al-Shabab,18,2006,10,0,67,0.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
6,Mohammed Al Abdullah,,MF,Al-Khaleej,,,6,0,58,0.6,0,1,1,0,0,0,1,0,0,1.55,1.55,0,1.55,Matches
7,Reda Al Abdullah,,MF,Al-Fayha,,,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Mohamed Abdulrahman,saKSA,DF,Al-Ettifaq,21,2003,25,18,"1,604",17.8,1,1,2,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
9,Fahad Al Abdulraziq,saKSA,"DF,MF",Al-Taawoun,,,12,7,643,7.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
10,Faisal Al Abdulwahed,saKSA,FW,Al-Fateh,19,2004,4,1,96,1.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
11,Nawaf Al Abed,saKSA,MF,Al-Riyadh SC,34,1990,14,1,216,2.4,0,1,1,0,0,0,1,0,0,0.42,0.42,0,0.42,Matches
12,Mehdi Abeid,dzALG,"MF,DF",Al-Raed,31,1992,30,28,"2,464",27.4,2,0,2,2,0,0,8,0,0.07,0,0.07,0.07,0.07,Matches
13,Hassan Abo Shararah,saKSA,MF,Damac,27,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Abdulrahman Al-Aboud,saKSA,MF,Al-Ittihad,29,1995,29,12,"1,155",12.8,7,7,14,7,0,0,3,0,0.55,0.55,1.09,0.55,1.09,Matches
15,Mohammed Al Absi,saKSA,GK,Al-Shabab,21,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Mohannad Abu Taha,joJOR,"DF,MF",Al-Orobah,21,2003,16,15,"1,363",15.1,2,5,7,2,0,0,2,0,0.13,0.33,0.46,0.13,0.46,Matches
17,Abdulfattah Adam,saKSA,FW,Al-Taawoun,29,1995,27,8,951,10.6,4,1,5,4,0,0,6,0,0.38,0.09,0.47,0.38,0.47,Matches
18,Waleed Al Ahmad,saKSA,DF,Al-Taawoun,25,1999,25,23,"1,951",21.7,2,0,2,2,0,0,5,1,0.09,0,0.09,0.09,0.09,Matches
19,Mishal Al Alaeli,saKSA,DF,Al-Wehda,20,2004,19,17,"1,347",15,1,1,2,1,0,0,5,0,0.07,0.07,0.13,0.07,0.13,Matches
20,Alexsander,brBRA,MF,Al-Ahli,20,2003,10,6,516,5.7,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
21,Mukhtar Ali,saKSA,MF,Al-Ettifaq,26,1997,15,12,"1,098",12.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
22,Mukhtar Ali,saKSA,MF,Al-Nassr,26,1997,5,0,44,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
23,Mohammed Alkhaibari,saKSA,DF,Damac,,,22,11,"1,137",12.6,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
24,Iker Almena,esESP,"MF,DF",Al-Qadsiah,20,2004,17,13,"1,181",13.1,0,1,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
25,Gastón Álvarez,uyURU,DF,Al-Qadsiah,24,2000,30,30,"2,550",28.3,1,0,1,1,0,0,7,0,0.04,0,0.04,0.04,0.04,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Awad Aman,saKSA,DF,Al-Nassr,19,2005,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Mohamed Amine Sbai,frFRA,MF,Al-Fateh,23,2000,26,17,"1,471",16.3,5,4,9,5,0,0,0,0,0.31,0.24,0.55,0.31,0.55,Matches
28,Abdullah Al-Ammar,saKSA,DF,Al-Ahli,30,1994,13,5,504,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
29,Turki Al Ammar,saKSA,MF,Al-Qadsiah,24,1999,30,27,"2,086",23.2,4,6,10,4,0,0,5,0,0.17,0.26,0.43,0.17,0.43,Matches
30,Abdulelah Al-Amri,saKSA,DF,Al-Ittihad,27,1997,20,14,"1,320",14.7,0,1,1,0,0,0,3,0,0,0.07,0.07,0,0.07,Matches
31,Saleh Al-Amri,saKSA,"MF,FW",Al-Raed,30,1993,33,30,"2,683",29.8,6,3,9,5,1,1,8,0,0.2,0.1,0.3,0.17,0.27,Matches
32,Youssef Amyn,iqIRQ,MF,Al-Wehda,20,2003,29,18,"1,793",19.9,4,2,6,4,0,1,3,0,0.2,0.1,0.3,0.2,0.3,Matches
33,Abdullah Al Anazi,saKSA,MF,Al-Fateh,21,2003,15,5,402,4.5,1,2,3,1,0,0,1,1,0.22,0.45,0.67,0.22,0.67,Matches
34,Dhari Al Anazi,saKSA,"DF,MF",Damac,24,2000,31,29,"2,350",26.1,0,1,1,0,0,0,13,1,0,0.04,0.04,0,0.04,Matches
35,Zaid Al Anazi,saKSA,MF,Al Kholood Saudi Club,20,2004,7,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Ângelo,brBRA,MF,Al-Nassr,19,2004,25,15,"1,364",15.2,1,6,7,1,0,0,2,0,0.07,0.4,0.46,0.07,0.46,Matches
37,Paulo Vítor Fagundes dos Anjos,brBRA,GK,Al Okhdood SC,35,1988,32,32,"2,836",31.5,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
38,Abdulrahman Al Anzi,saKSA,DF,Al-Orobah,,,7,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Houssem Aouar,dzALG,MF,Al-Ittihad,26,1998,30,30,"2,491",27.7,12,4,16,11,1,2,5,0,0.43,0.14,0.58,0.4,0.54,Matches
40,Mohammed Al Aqeel,saKSA,MF,Al-Riyadh SC,27,1997,7,0,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Nawaf Al Aqidi,saKSA,GK,Al-Fateh,24,2000,16,16,"1,440",16,0,1,1,0,0,0,2,0,0,0.06,0.06,0,0.06,Matches
42,Karim Ashraf,egEGY,FW,Al Okhdood SC,20,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Abdulfattah Asiri,saKSA,"MF,FW",Al Kholood Saudi Club,30,1994,12,3,305,3.4,0,1,1,0,0,0,0,0,0,0.3,0.3,0,0.3,Matches
44,Naif Asiri,saKSA,DF,Al Okhdood SC,23,2001,29,25,"2,131",23.7,1,0,1,1,0,0,5,0,0.04,0,0.04,0.04,0.04,Matches
45,Ali Al Asmari,saKSA,MF,Al-Ahli,27,1997,10,3,262,2.9,1,0,1,1,0,0,1,0,0.34,0,0.34,0.34,0.34,Matches
46,Hassan Al Asmari,saKSA,DF,Al Kholood Saudi Club,21,2002,11,3,348,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Ahmed Assiri,saKSA,DF,Al-Riyadh SC,32,1991,27,26,"2,290",25.4,1,0,1,1,0,0,9,2,0.04,0,0.04,0.04,0.04,Matches
48,Abdulquddus Atiah,saKSA,GK,Al-Taawoun,27,1997,18,17,"1,531",17,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Pierre-Emerick Aubameyang,gaGAB,FW,Al-Qadsiah,35,1989,32,32,"2,828",31.4,17,3,20,15,2,3,1,1,0.54,0.1,0.64,0.48,0.57,Matches
50,Nawaf Al-Azizi,saKSA,MF,Al-Wehda,24,1999,2,2,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Saeed Ba Atiyah,,"DF,MF",Al-Fateh,,,25,18,"1,530",17,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
52,Juninho Bacuna,cwCUW,MF,Al-Wehda,26,1997,32,25,"2,257",25.1,3,4,7,2,1,1,7,0,0.12,0.16,0.28,0.08,0.24,Matches
53,Hattan Bahebri,saKSA,"MF,FW",Al-Taawoun,32,1992,18,4,427,4.7,2,1,3,2,0,0,1,0,0.42,0.21,0.63,0.42,0.63,Matches
54,Ahmed Bahusayn,saKSA,MF,Al-Taawoun,23,2001,17,9,678,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
55,Yazeid Al Bakr,saKSA,DF,Al-Riyadh SC,28,1995,2,1,63,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
56,Waleed Bakshween,saKSA,MF,Al-Wehda,34,1989,28,21,"1,747",19.4,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
57,Saif Balhareth,saKSA,MF,Al Okhdood SC,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Ahmed Bamasud,saKSA,DF,Al-Ettifaq,28,1995,7,1,103,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
59,Mohammed Al Baqawi,saKSA,"MF,DF",Al-Fayha,29,1995,28,26,"2,236",24.8,0,2,2,0,0,0,5,0,0,0.08,0.08,0,0.08,Matches
60,Yoann Barbet,frFRA,DF,Al-Riyadh SC,31,1993,30,28,"2,603",28.9,1,1,2,1,0,0,2,0,0.03,0.03,0.07,0.03,0.07,Matches
61,Mohammed Barnawi,saKSA,DF,Al-Orobah,18,2005,4,1,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Musa Barrow,gmGAM,"FW,MF",Al-Taawoun,25,1998,33,29,"2,535",28.2,13,3,16,12,1,1,1,0,0.46,0.11,0.57,0.43,0.53,Matches
63,Ousmane Barry,gnGUI,FW,Al Okhdood SC,32,1991,16,11,926,10.3,1,2,3,1,0,0,1,0,0.1,0.19,0.29,0.1,0.29,Matches
64,Christian Bassogog,cmCMR,"MF,FW",Al Okhdood SC,28,1995,32,31,"2,720",30.2,6,1,7,6,0,0,1,0,0.2,0.03,0.23,0.2,0.23,Matches
65,Mourad Batna,maMAR,MF,Al-Fateh,34,1990,28,26,"2,403",26.7,13,6,19,8,5,6,4,0,0.49,0.22,0.71,0.3,0.52,Matches
66,Ibrahim Bayesh,iqIRQ,"MF,FW",Al-Riyadh SC,24,2000,32,31,"2,703",30,5,2,7,5,0,0,4,0,0.17,0.07,0.23,0.17,0.23,Matches
67,Abdelkader Bedrane,dzALG,DF,Damac,32,1992,31,31,"2,689",29.9,0,2,2,0,0,0,6,2,0,0.07,0.07,0,0.07,Matches
68,Sofiane Bendebka,dzALG,MF,Al-Fateh,31,1992,32,32,"2,780",30.9,12,1,13,9,3,3,4,0,0.39,0.03,0.42,0.29,0.32,Matches
69,Bento,brBRA,GK,Al-Nassr,25,1999,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
70,Karim Benzema,frFRA,FW,Al-Ittihad,36,1987,29,29,"2,529",28.1,21,9,30,21,0,1,1,0,0.75,0.32,1.07,0.75,1.07,Matches
71,Jóhann Berg Guðmundsson,isISL,"MF,FW",Al-Orobah,33,1990,28,28,"2,271",25.2,4,4,8,4,0,0,7,0,0.16,0.16,0.32,0.16,0.32,Matches
72,Steven Bergwijn,nlNED,"MF,FW",Al-Ittihad,26,1997,25,24,"1,964",21.8,13,7,20,11,2,2,4,0,0.6,0.32,0.92,0.5,0.82,Matches
73,Karim El Berkaoui,maMAR,FW,Al-Raed,28,1995,22,20,"1,613",17.9,11,0,11,11,0,0,3,0,0.61,0,0.61,0.61,0.61,Matches
74,Mansor Al Beshe,saKSA,MF,Al-Fayha,24,2000,27,20,"1,748",19.4,0,1,1,0,0,0,3,0,0,0.05,0.05,0,0.05,Matches
75,Saad Bguir,tnTUN,"MF,FW",Al-Wehda,30,1994,25,18,"1,337",14.9,3,0,3,3,0,0,1,0,0.2,0,0.2,0.2,0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Fahad bin Jumayah,saKSA,"DF,MF",Al-Taawoun,29,1995,21,17,"1,399",15.5,0,3,3,0,0,0,6,0,0,0.19,0.19,0,0.19,Matches
77,Saud bin Zaydan,saKSA,MF,Al-Riyadh SC,24,1999,8,3,329,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
